"Getty URI","Artist Name","ULAN Bio","ULAN Scope Note","Also Known As","Type of Artist"
"http://vocab.getty.edu/ulan/500110692","""Levine, Les""","Canadian sculptor and video artist, born 1935",,"Les Levine|Levine, Leslie Leopold","artists|sculptors|video artists"
"http://vocab.getty.edu/ulan/500056183","""Montano, Linda""","American performance artist, born 1942","Performance artist has used physical ties and endurance in her work, most notably in collaboration with Tehching Hsieh, when the two artists were bound to each other by a length of rope continuously for a one year period from July 4, 1983 to July 3, 1984. She has also explored feminist, sexual, and spiritual issues in her work.","Linda Montano|Montano, Linda Mary","artists|performance artists"
"http://vocab.getty.edu/ulan/500057350","""Bourgeois, Louise""","French-American sculptor, 1911-2010","Known primarily for her sculptures in wood, steel, stone or cast rubber, she also produced prints and works on paper in her long career.","Louise Bourgeois","engravers|artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500356198","""Kudo, Makiko""","Japanese painter, born 1978",,"Makiko Kudo","artists|painters"
"http://vocab.getty.edu/ulan/500059909","""Neri, Manuel""","American sculptor, born 1930",,"Manuel Neri","artists|sculptors"
"http://vocab.getty.edu/ulan/500063752","""Treib, Marc""","American designer, born 1943","American designer and prof. of architecture at UC Berkeley.","Marc Treib","designers"
"http://vocab.getty.edu/ulan/500116128","""Dion, Mark""","American sculptor and installation artist, born 1961","American artist.","Mark Dion|Dion, Marc","artists|installation artists|mixed-media artists|sculptors"
"http://vocab.getty.edu/ulan/500331760","""Grotjahn, Mark""","American painter, born 1968",,"Mark Grotjahn","artists|painters"
"http://vocab.getty.edu/ulan/500036862","""Klett, Mark""","American photographer and geologist, born 1952","Born 9 September 1952.","Mark Klett","geologists|artists|photographers"
"http://vocab.getty.edu/ulan/500000888","""Heade, Martin Johnson""","American painter, 1819-1904",,"Martin Johnson Heade|Heade, Martin J.|Heed, Martin Johnson","artists|painters|still life artists"
"http://vocab.getty.edu/ulan/500110976","""Henderson, Mel""","American sculptor and assemblage artist, born 1922",,"Mel Henderson","assemblage artists|artists|sculptors"
"http://vocab.getty.edu/ulan/500099429","""Roddy, Mike""","American sculptor, born 1948",,"Mike Roddy","artists|sculptors"
"http://vocab.getty.edu/ulan/500027149","""Ramsey, Milne""","American painter, 1846 or 1847-1915",,"Milne Ramsey|Ramsay, Milne|Ramsay, M.|Milne Ramsay|Milne, Ramsey|Ramsey Milney","artists|painters|still life artists"
"http://vocab.getty.edu/ulan/500064819","""Baden, Mowry""","Canadian sculptor, born 1936",,"Mowry Baden","artists|sculptors"
"http://vocab.getty.edu/ulan/500383800","""Blanchard, Nancy""","artist, active 20th century",,"Nancy Blanchard","artists|miscellaneous"
